family,description,spec_json,complexity,positive_development_folds,robust_score,train_trades,train_wins,train_losses,train_win_rate,train_net_pnl,train_average_pnl,train_ci_lower,train_ci_upper,validation_trades,validation_wins,validation_losses,validation_win_rate,validation_net_pnl,validation_average_pnl,validation_ci_lower,validation_ci_upper,full_trades,full_wins,full_losses,full_win_rate,full_net_pnl,full_average_pnl,full_ci_lower,full_ci_upper
binary_le_3,"last 7 digits match HHHHLLH, where L <= 3","{""kind"":""binary_suffix"",""pattern"":[0,0,0,0,1,1,0],""threshold"":3}",7,3,0.7544103076141433,623,412,211,0.6613162118780096,8.55000000000004,0.013723916532905361,0.6232659003425642,0.6973893421778501,303,197,106,0.6501650165016502,2.3000000000000185,0.007590759075907652,0.5948896471468365,0.7016804459225513,1235,792,443,0.6412955465587045,3.3500000000000796,0.002712550607287514,0.61414604124634,0.6675687798997234
binary_le_1,"last 8 digits match LHHLHHHH, where L <= 1","{""kind"":""binary_suffix"",""pattern"":[1,0,0,1,0,0,0,0],""threshold"":1}",8,5,1.0456524432610284,519,343,176,0.6608863198458574,7.000000000000028,0.013487475915221635,0.6191082382905772,0.7003002500429233,268,175,93,0.6529850746268657,2.450000000000017,0.009141791044776183,0.5941950171925162,0.7074513922835565,1075,690,385,0.641860465116279,3.250000000000057,0.003023255813953541,0.6127410206760667,0.6699696570665205
three_bins_3_6,last 5 digits have bin pattern 12001 for bins 0-3/4-6/7-9,"{""boundaries"":[3,6],""kind"":""categorical_suffix"",""pattern"":[1,2,0,0,1]}",5,5,0.9953558734673567,221,144,77,0.6515837104072398,1.850000000000012,0.008371040723981956,0.5866606766332827,0.7113270714956377,110,75,35,0.6818181818181818,2.7500000000000053,0.02500000000000005,0.589903417135744,0.7614624245740145,437,284,153,0.6498855835240275,3.2500000000000213,0.007437070938215152,0.6040326346399829,0.6931263493413362
binary_le_4,"last 8 digits match LHHLHHHL, where L <= 4","{""kind"":""binary_suffix"",""pattern"":[1,0,0,1,0,0,0,1],""threshold"":4}",8,2,-0.28406101782088095,204,128,76,0.6274509803921569,-0.9999999999999893,-0.004901960784313673,0.5593231556827584,0.6908675439738517,126,78,48,0.6190476190476191,-1.1999999999999922,-0.009523809523809462,0.5319219933564636,0.6991290151001559,417,271,146,0.6498800959232613,3.1000000000000227,0.00743405275779382,0.6029177994170017,0.6941061685881517
binary_le_6,"last 6 digits match HHLHHL, where L <= 6","{""kind"":""binary_suffix"",""pattern"":[0,0,1,0,0,1],""threshold"":6}",6,3,-0.5074012339657193,192,117,75,0.609375,-2.8499999999999908,-0.014843749999999952,0.5388648697530334,0.6755943170448642,100,68,32,0.68,2.4000000000000057,0.024000000000000056,0.5833738138954762,0.7633085267500092,395,257,138,0.6506329113924051,3.1000000000000227,0.007848101265822843,0.602369175581487,0.6959949923559753
three_bins_2_5,last 5 digits have bin pattern 21120 for bins 0-2/3-5/6-9,"{""boundaries"":[2,5],""kind"":""categorical_suffix"",""pattern"":[2,1,1,2,0]}",5,3,-0.5542857142857118,206,146,60,0.7087378640776699,8.20000000000001,0.039805825242718494,0.6433245500680965,0.7665086663197361,112,67,45,0.5982142857142857,-2.3499999999999943,-0.020982142857142807,0.5056205421161983,0.6842941932813662,452,293,159,0.6482300884955752,2.950000000000024,0.006526548672566425,0.6031267082907845,0.6908351449085075
parity,last digits have parity EEOEEOEO,"{""kind"":""parity_suffix"",""pattern"":[0,0,1,0,0,1,0,1]}",8,3,-0.7238094061735275,185,125,60,0.6756756756756757,4.000000000000007,0.02162162162162166,0.6052400128531741,0.738964063973609,100,59,41,0.59,-2.5499999999999954,-0.025499999999999953,0.4920143005341078,0.6813268697886348,396,257,139,0.648989898989899,2.7500000000000213,0.006944444444444499,0.6007541424493982,0.694362828031935
three_bins_4_7,last 5 digits have bin pattern 02010 for bins 0-4/5-7/8-9,"{""boundaries"":[4,7],""kind"":""categorical_suffix"",""pattern"":[0,2,0,1,0]}",5,3,0.5686543144655921,348,224,124,0.6436781609195402,1.4000000000000128,0.004022988505747163,0.5920433936455839,0.6921755279538803,206,134,72,0.6504854368932039,1.6000000000000085,0.007766990291262177,0.5831578010555558,0.7123033549449747,745,479,266,0.6429530201342282,2.7000000000000313,0.0036241610738255454,0.6078951604146553,0.6765442192311258
binary_le_5,"last 7 digits match HLLHHHH, where L <= 5","{""kind"":""binary_suffix"",""pattern"":[0,1,1,0,0,0,0],""threshold"":5}",7,3,0.25500000000000317,187,119,68,0.6363636363636364,1.0658141036401503e-14,5.699540661177275e-17,0.5653143126179756,0.7019232169793916,90,64,26,0.7111111111111111,3.7000000000000046,0.04111111111111116,0.6103595640200169,0.7945787274083785,379,246,133,0.6490765171503958,2.65000000000002,0.0069920844327177305,0.5997501353431034,0.6954112098990906
binary_le_6,"last 8 digits match LLLLHHLH, where L <= 6","{""kind"":""binary_suffix"",""pattern"":[1,1,1,1,0,0,1,0],""threshold"":6}",8,3,0.3293916527417921,219,140,79,0.639269406392694,0.3500000000000121,0.0015981735159817903,0.57377313938011,0.6999640741654298,113,79,34,0.6991150442477876,3.9000000000000075,0.034513274336283255,0.6091495130335224,0.7759877529180895,453,293,160,0.6467991169977925,2.6000000000000227,0.005739514348785922,0.6017184060516757,0.689411038161489
